,Country,EdLevel,YearsCodePro,ConvertedCompYearly
2298,Spain,No bachelors,2,51887
2299,Germany,Post-grad,15,81074
2300,Russia,No bachelors,4,18876
2301,United States of America,No bachelors,2,50000
2302,Other,No bachelors,3,75204
2303,United States of America,Bachelors,5,200000
2304,United States of America,Bachelors,2,50000
2305,United States of America,No bachelors,3,85000
2306,Other,Post-grad,9,97288
2307,Canada,Bachelors,10,65043
2308,Other,Bachelors,7,54481
2309,Other,No bachelors,24,36888
2310,United States of America,Bachelors,1,110000
2311,United States of America,Bachelors,2,81200
2312,United States of America,Bachelors,15,225000
2313,India,Bachelors,6,20663
2314,United States of America,Bachelors,5,85000
2315,Germany,No bachelors,2,82860
2316,United States of America,Bachelors,0.5,42000
2317,United States of America,Bachelors,18,160000
2318,France,No bachelors,6,97288
2319,France,No bachelors,4,29616
2320,Canada,No bachelors,9,59750
2321,Brazil,Bachelors,10,70560
2322,United States of America,Bachelors,8,118000
2323,United States of America,No bachelors,6,125000
2324,United States of America,No bachelors,5,101000
2325,Canada,No bachelors,5,117985
2326,India,Bachelors,5,41880
2327,Netherlands,No bachelors,3,49296
2328,United Kingdom,No bachelors,30,58167
2329,Netherlands,Bachelors,3,48648
2330,United States of America,Bachelors,5,105000
2331,Canada,No bachelors,2,83194
2332,Other,No bachelors,16,79896
2333,Italy,No bachelors,1,14268
2334,Germany,Bachelors,8,36324
2335,United States of America,Bachelors,5,200000
2336,France,Post-grad,7,70264
2337,Brazil,No bachelors,6,16488
2338,Turkey,Bachelors,2,11340
2339,Israel,Bachelors,31,63036
2340,Other,No bachelors,23,130000
2341,Other,Bachelors,12,23352
2342,United States of America,Bachelors,11,155000
2343,Canada,No bachelors,2,21780
2344,Turkey,Bachelors,2,13140
2345,Other,No bachelors,2,16284
2346,Poland,No bachelors,5,30372
2347,Germany,No bachelors,11,57292
2348,Canada,Bachelors,18,77144
2349,Spain,Bachelors,2,12972
2350,France,No bachelors,4,46482
2351,Sweden,No bachelors,4,44796
2352,United States of America,Post-grad,21,148000
2353,United States of America,Bachelors,5,155000
2354,Netherlands,No bachelors,35,45396
2355,Turkey,Bachelors,3,23664
2356,Other,Bachelors,3,51708
2357,Other,No bachelors,6,28584
2358,United States of America,Bachelors,24,115000
2359,United States of America,Bachelors,2,180000
2360,United States of America,Bachelors,8,145000
2361,India,No bachelors,3,32112
2362,Germany,No bachelors,15,131880
2363,United States of America,No bachelors,42,156000
2364,United States of America,Bachelors,8,145000
2365,Israel,No bachelors,7,110904
2366,United States of America,No bachelors,27,140000
2367,United States of America,Bachelors,4,155000
2368,Sweden,Bachelors,22,92052
2369,United States of America,Bachelors,2,55000
2370,Other,No bachelors,1,80112
2371,Other,No bachelors,9,28200
2372,Netherlands,Bachelors,3,81074
2373,India,Bachelors,2,10471
2374,United Kingdom,No bachelors,6,96945
2375,United States of America,Bachelors,3,120000
2376,United States of America,No bachelors,5,90000
2377,Other,No bachelors,0.5,233496
2378,Germany,No bachelors,20,75669
2379,United States of America,Bachelors,10,200000
2380,France,No bachelors,4,85128
2381,United States of America,No bachelors,3,60000
2382,Other,No bachelors,13,97260
2383,Turkey,No bachelors,5,39444
2384,Other,Bachelors,18,64860
2385,United States of America,Bachelors,3,57600
2386,Germany,Post-grad,7,108098
2387,Other,No bachelors,11,57072
2388,Other,Bachelors,15,66000
2389,Brazil,No bachelors,4,13200
2390,France,Post-grad,25,32424
2391,United States of America,Bachelors,10,105000
2392,Switzerland,No bachelors,2,100632
2393,India,Bachelors,2,13962
2394,United States of America,No bachelors,22,95000
2395,Other,No bachelors,12,132000
2396,Other,Bachelors,5,11676
2397,United Kingdom,No bachelors,16,71093
2398,Other,No bachelors,42,115784
2399,United States of America,No bachelors,3,200000
2400,Other,No bachelors,20,103932
2401,Other,No bachelors,1,32424
2402,Canada,Bachelors,9,128573
2403,Russia,No bachelors,19,58512
2404,India,Bachelors,8,13403
2405,Other,No bachelors,9,26484
2406,Germany,Bachelors,15,70264
2407,United States of America,Bachelors,25,78000
2408,Turkey,Bachelors,3,23664
2409,Italy,No bachelors,10,60535
2410,United States of America,Bachelors,11,75000
2411,Israel,Bachelors,2,105072
2412,Turkey,Bachelors,4,19728
2413,United States of America,Bachelors,21,170000
2414,Spain,Bachelors,11,57292
2415,United States of America,No bachelors,12,158000
2416,United States of America,No bachelors,19,145000
2417,India,Bachelors,2,28622
2418,United States of America,Bachelors,6,140000
2419,United States of America,Bachelors,6,130000
2420,Turkey,No bachelors,13,19728
2421,United States of America,No bachelors,15,150000
2422,United States of America,Bachelors,2,136000
2423,United States of America,No bachelors,15,100000
2424,United Kingdom,Bachelors,7,66569
2425,United States of America,No bachelors,4,93000
2426,United States of America,No bachelors,20,83000
2427,United States of America,No bachelors,5,95000
2428,United States of America,No bachelors,5,200000
2429,Other,No bachelors,1,19464
2430,United States of America,Bachelors,10,200000
2431,France,No bachelors,10,31128
2432,United States of America,No bachelors,2,80000
2433,Turkey,Bachelors,3,36000
2434,Italy,No bachelors,13,127556
2435,Italy,No bachelors,15,52968
2436,United States of America,No bachelors,3,110000
2437,Poland,Bachelors,2,30372
2438,United Kingdom,Bachelors,11,129259
2439,Norway,No bachelors,7,100343
2440,United States of America,Bachelors,4,118000
2441,Other,Bachelors,9,68102
2442,United Kingdom,Bachelors,2,69800
2443,United States of America,Bachelors,9,146000
2444,United States of America,Bachelors,6,225000
2445,United States of America,Bachelors,10,131000
2446,United States of America,Post-grad,6,250000
2447,United States of America,Bachelors,5,160000
2448,Germany,Post-grad,15,41508
2449,Other,Bachelors,2,69468
2450,Other,Bachelors,14,51888
2451,United States of America,Bachelors,3,84000
2452,United States of America,Bachelors,12,150000
2453,United States of America,No bachelors,6,85000
2454,Spain,Bachelors,14,39996
2455,United States of America,Bachelors,12,130000
2456,United States of America,Bachelors,11,135000
2457,Canada,Bachelors,3,98321
2458,Other,Bachelors,11,124176
2459,Germany,No bachelors,2,33732
2460,Israel,Bachelors,13,154104
2461,United States of America,Bachelors,4,68500
2462,United States of America,Bachelors,15,105000
2463,Other,Bachelors,20,64860
2464,Canada,No bachelors,20,68068
2465,Sweden,Bachelors,3,51552
2466,United Kingdom,No bachelors,22,116333
2467,Netherlands,No bachelors,2,97288
2468,United States of America,No bachelors,1,60000
2469,Canada,Bachelors,1,37800
2470,United States of America,No bachelors,3,27000
2471,Other,Bachelors,6,31140
2472,United States of America,No bachelors,2,125000
2473,United States of America,Bachelors,7,114000
2474,United States of America,No bachelors,3,110600
2475,United States of America,No bachelors,15,100000
2476,Norway,No bachelors,2,67435
2477,United States of America,No bachelors,10,180000
2478,Other,No bachelors,23,77832
2479,United States of America,No bachelors,9,160000
2480,Other,No bachelors,6,62697
2481,Germany,No bachelors,3,48644
2482,United States of America,Bachelors,17,150000
2483,Netherlands,Post-grad,3,54049
2484,Brazil,Bachelors,17,41232
2485,Other,Bachelors,3,10344
2486,Other,Bachelors,4,13428
2487,United States of America,Bachelors,3,130000
2488,United States of America,Bachelors,6,120000
2489,United States of America,No bachelors,8,122000
2490,United States of America,Bachelors,1,143000
2491,United States of America,No bachelors,17,113000
2492,Other,Bachelors,4,12264
2493,United States of America,Bachelors,23,125000
2494,Italy,No bachelors,14,32424
2495,United States of America,No bachelors,22,170000
2496,Canada,No bachelors,0.5,52942
2497,United States of America,No bachelors,47,120000
2498,United States of America,Bachelors,7,125000
2499,Switzerland,Bachelors,2,48792
2500,Turkey,No bachelors,9,39513
2501,Germany,Post-grad,8,75669
2502,United States of America,Bachelors,5,105000
2503,Germany,No bachelors,0.5,46698
2504,United States of America,Post-grad,21,150000
2505,Poland,No bachelors,13,57708
2506,Other,No bachelors,4,14160
2507,Sweden,Bachelors,3,67500
2508,France,No bachelors,0.5,16212
2509,Switzerland,Bachelors,14,116896
2510,India,No bachelors,0.5,22339
2511,France,No bachelors,2,28536
2512,United States of America,Bachelors,2,200000
2513,Russia,Bachelors,3,37752
2514,France,No bachelors,5,51887
2515,United States of America,Bachelors,12,140000
2516,Germany,No bachelors,15,45396
2517,Other,Bachelors,4,24000
2518,Turkey,Bachelors,9,29580
2519,United States of America,Bachelors,5,130000
2520,United States of America,Bachelors,4,90000
2521,Other,No bachelors,10,90804
2522,United States of America,Bachelors,24,93000
2523,United States of America,No bachelors,5,79000
2524,United Kingdom,Bachelors,15,98237
2525,Other,No bachelors,2,35139
2526,Brazil,Bachelors,9,21996
2527,Other,No bachelors,5,33780
2528,Israel,Bachelors,10,196128
2529,Other,Bachelors,2,21708
2530,Other,No bachelors,7,131880
2531,Canada,Bachelors,4,49160
2532,United Kingdom,Bachelors,8,87250
2533,Turkey,Bachelors,8,96000
2534,United States of America,No bachelors,10,120000
2535,United States of America,Bachelors,5,200000
2536,Poland,No bachelors,11,24300
2537,Canada,No bachelors,5,75631
2538,Other,No bachelors,8,60972
2539,United States of America,Bachelors,17,208000
2540,Poland,No bachelors,3,24300
2541,United States of America,Bachelors,15,88000
2542,Brazil,No bachelors,13,68724
2543,Turkey,No bachelors,2,39444
2544,Other,No bachelors,13,90804
2545,Other,Bachelors,7,25392
2546,United States of America,Bachelors,3,160000
2547,Other,Bachelors,2,20016
2548,Other,No bachelors,1,16284
2549,Other,No bachelors,3,15672
2550,Other,No bachelors,7,42756
2551,Other,No bachelors,13,86478
2552,Italy,No bachelors,0.5,14916
2553,United States of America,Bachelors,8,200000
2554,France,No bachelors,4,35672
2555,India,Bachelors,15,33508
2556,United States of America,Bachelors,23,125000
2557,United States of America,Bachelors,5,58000
2558,Other,Bachelors,30,53664
2559,Canada,No bachelors,30,90758
2560,Netherlands,No bachelors,23,75669
2561,United States of America,Bachelors,21,123000
2562,United States of America,Bachelors,17,165000
2563,Other,No bachelors,6,37488
2564,Canada,No bachelors,33,54455
2565,Switzerland,No bachelors,1,13416
2566,Canada,No bachelors,10,75215
2567,Other,Bachelors,9,25657
2568,Italy,Bachelors,10,41077
2569,Germany,No bachelors,0.5,64859
2570,France,No bachelors,2,45401
2571,Italy,Bachelors,1,28800
2572,Germany,Post-grad,5,64859
2573,Israel,No bachelors,6,92808
2574,United States of America,Bachelors,8,115000
2575,United States of America,Bachelors,14,91000
2576,United States of America,No bachelors,25,130000
2577,United Kingdom,Bachelors,12,173208
2578,United States of America,No bachelors,3,250000
2579,United States of America,No bachelors,2,90000
2580,United States of America,No bachelors,1,44000
2581,Turkey,Bachelors,3,21696
2582,Other,Bachelors,4,15168
2583,Germany,Bachelors,4,45396
2584,France,No bachelors,1,42158
2585,United States of America,Bachelors,18,200000
2586,Poland,No bachelors,12,62880
2587,United States of America,Bachelors,8,175000
2588,United States of America,Bachelors,9,60000
2589,Canada,Bachelors,9,62774
2590,United States of America,No bachelors,5,107000
2591,Germany,No bachelors,16,73507
2592,United States of America,No bachelors,7,85000
2593,United States of America,Bachelors,8,42000
2594,United States of America,Bachelors,7,63000
2595,United States of America,Bachelors,12,163000
2596,Brazil,No bachelors,10,32988
2597,France,No bachelors,16,137226
2598,United States of America,No bachelors,10,143000
2599,United States of America,Bachelors,30,84000
2600,France,Post-grad,6,38916
2601,United States of America,Bachelors,5,102700
2602,Canada,Bachelors,1,37816
2603,United States of America,Bachelors,3,147000
2604,Other,No bachelors,11,58870
2605,Other,Bachelors,5,20556
2606,United Kingdom,Bachelors,3,45241
2607,United States of America,No bachelors,16,160000
2608,Other,No bachelors,2,33732
2609,United States of America,No bachelors,4,108000
2610,United States of America,Bachelors,10,134000
2611,Germany,No bachelors,4,54049
2612,United States of America,Bachelors,25,200000
2613,Other,No bachelors,7,72000
2614,Other,No bachelors,8,25788
2615,United States of America,Bachelors,6,160000
2616,Germany,Bachelors,4,64859
2617,Brazil,Bachelors,4,31608
2618,Other,Bachelors,11,21960
2619,Other,No bachelors,4,38355
2620,United States of America,Post-grad,3,47500
2621,United States of America,No bachelors,3,95000
2622,United States of America,Bachelors,15,113000
2623,United States of America,Bachelors,1,48000
2624,Other,Bachelors,2,30372
2625,Other,No bachelors,8,32484
2626,Germany,No bachelors,7,70264
2627,United States of America,Bachelors,7,75000
2628,United States of America,No bachelors,8,157000
2629,United Kingdom,Bachelors,10,96945
2630,United States of America,No bachelors,8,250000
2631,United States of America,No bachelors,2,80000
2632,United States of America,No bachelors,1,119000
2633,United States of America,No bachelors,0.5,40000
2634,Other,No bachelors,27,52044
2635,Canada,Bachelors,3,39328
2636,Poland,No bachelors,10,21264
2637,Other,No bachelors,6,104148
2638,Netherlands,No bachelors,16,116746
2639,Canada,No bachelors,8,60505
2640,Switzerland,No bachelors,6,93517
2641,Other,Bachelors,4,18501
2642,United States of America,Bachelors,4,105000
2643,Other,Bachelors,6,24648
2644,United States of America,No bachelors,7,85000
2645,India,Post-grad,12,139620
2646,Other,Post-grad,7,76536
2647,Canada,No bachelors,14,87732
2648,Spain,No bachelors,10,42158
2649,Other,No bachelors,9,137208
2650,Other,Bachelors,27,160000
2651,United States of America,Bachelors,1,56000
2652,United Kingdom,Bachelors,3,68507
2653,Switzerland,No bachelors,0.5,39036
2654,United States of America,Bachelors,9,100000
2655,Germany,Bachelors,16,88640
2656,United States of America,Bachelors,14,92582
2657,United States of America,Post-grad,5,73000
2658,Canada,No bachelors,7,33278
2659,Brazil,Bachelors,3,17388
2660,Germany,Bachelors,18,140527
2661,Canada,Bachelors,2,72612
2662,Italy,No bachelors,10,51887
2663,United States of America,No bachelors,10,200000
2664,United Kingdom,No bachelors,6,62045
2665,Poland,Bachelors,1,20052
2666,Netherlands,Bachelors,12,97288
2667,Norway,No bachelors,14,53948
2668,United States of America,No bachelors,26,124000
2669,Other,No bachelors,0.5,18156
2670,Switzerland,Bachelors,3,100632
2671,United States of America,Bachelors,3,105000
2672,Germany,No bachelors,6,54480
2673,United States of America,Bachelors,5,90000
2674,United Kingdom,No bachelors,6,72385
2675,Other,Bachelors,6,21288
2676,Sweden,No bachelors,5,53184
2677,United Kingdom,Bachelors,18,129259
2678,United States of America,Bachelors,6,96000
2679,United States of America,Bachelors,7,140000
2680,Russia,Bachelors,5,33972
2681,Norway,Bachelors,13,84914
2682,United States of America,Bachelors,0.5,48000
2683,Germany,No bachelors,6,59454
2684,Brazil,Bachelors,5,19788
2685,Other,No bachelors,2,43452
2686,Brazil,Bachelors,15,41232
2687,Germany,No bachelors,7,61616
2688,United States of America,Bachelors,10,140000
2689,Canada,Post-grad,8,64287
2690,Brazil,Bachelors,1,10716
2691,Other,Bachelors,7,17607
2692,Sweden,No bachelors,4,72408
2693,Other,Bachelors,2,23856
2694,Other,Bachelors,5,15156
2695,United States of America,Bachelors,8,175000
2696,Other,No bachelors,8,65556
2697,Canada,No bachelors,16,121010
2698,United States of America,Bachelors,33,130000
2699,Switzerland,No bachelors,10,127061
2700,United States of America,Bachelors,8,104000
2701,Canada,No bachelors,20,96808
2702,United States of America,No bachelors,2,160000
2703,United States of America,Bachelors,17,190000
2704,Other,No bachelors,0.5,13260
2705,Canada,Bachelors,5,68068
2706,Other,Bachelors,9,48644
2707,Other,No bachelors,10,100153
2708,Other,Bachelors,9,97288
2709,United States of America,No bachelors,3,115000
2710,Other,No bachelors,7,66156
2711,United States of America,Post-grad,9,230000
2712,Germany,No bachelors,1,56211
2713,Other,No bachelors,12,14250
2714,United States of America,No bachelors,4,150000
2715,Spain,No bachelors,5,34591
2716,Other,Bachelors,3,19512
2717,Canada,Bachelors,3,60505
2718,United States of America,No bachelors,1,87500
2719,Other,No bachelors,8,81628
2720,Canada,Post-grad,3,71850
2721,Poland,No bachelors,9,72900
2722,United States of America,Bachelors,10,160000
2723,Germany,No bachelors,15,58368
2724,Other,No bachelors,7,72000
2725,Other,No bachelors,13,24720
2726,Spain,Bachelors,2,17508
2727,Other,No bachelors,17,70000
2728,Poland,No bachelors,1,36444
2729,Germany,Bachelors,6,61620
2730,Netherlands,No bachelors,22,43239
2731,Turkey,Bachelors,3,24660
2732,Other,No bachelors,14,40872
2733,United States of America,Bachelors,10,149000
2734,Netherlands,Bachelors,10,64859
2735,United States of America,Bachelors,10,185000
2736,Other,Bachelors,27,26124
2737,Germany,Bachelors,3,47352
2738,Germany,Bachelors,2,44320
2739,Germany,No bachelors,28,75669
2740,United States of America,Bachelors,15,140000
2741,United States of America,Bachelors,2,30000
2742,United Kingdom,No bachelors,19,122796
2743,United States of America,Bachelors,3,68000
2744,United States of America,No bachelors,6,120000
2745,United States of America,Bachelors,5,80000
2746,United States of America,No bachelors,24,151400
2747,Other,Bachelors,6,58728
2748,Canada,Bachelors,2,49538
2749,Germany,No bachelors,10,49296
2750,Germany,Bachelors,7,59454
2751,Switzerland,Bachelors,17,146376
2752,United Kingdom,Bachelors,10,129259
2753,Other,Bachelors,7,54049
2754,Other,Bachelors,25,104208
2755,United States of America,No bachelors,20,41000
2756,United States of America,No bachelors,15,140000
2757,United States of America,Bachelors,13,130000
2758,United States of America,Bachelors,9,160000
2759,Brazil,Bachelors,2,11304
2760,United States of America,No bachelors,31,160000
2761,Other,Bachelors,5,24504
2762,France,No bachelors,4,42720
2763,Turkey,Bachelors,7,21696
2764,Canada,Bachelors,39,75631
2765,Norway,Bachelors,35,70456
2766,United States of America,Bachelors,4,115000
2767,United States of America,No bachelors,1,50000
2768,Israel,Bachelors,11,133080
2769,Other,Bachelors,7,46668
2770,Germany,No bachelors,23,90802
2771,United Kingdom,Bachelors,20,112456
2772,United States of America,Bachelors,10,130000
2773,United States of America,Bachelors,15,220000
2774,Other,No bachelors,5,14400
2775,United States of America,Bachelors,2,135000
2776,United Kingdom,No bachelors,5,35342
2777,Other,No bachelors,5,34632
2778,Germany,No bachelors,3,35028
2779,United States of America,Bachelors,2,60000
2780,Other,Bachelors,13,64859
2781,United Kingdom,No bachelors,33,206815
2782,Other,Bachelors,8,12060
2783,United States of America,Post-grad,3,48000
2784,Brazil,No bachelors,6,24744
2785,United Kingdom,Bachelors,27,86604
2786,Germany,No bachelors,3,59454
2787,Other,Post-grad,4,58368
2788,United States of America,Bachelors,15,109000
2789,Switzerland,Bachelors,2,85380
2790,United States of America,No bachelors,5,115500
2791,Other,No bachelors,6,44100
2792,United States of America,Bachelors,5,98000
2793,Other,No bachelors,4,47917
2794,Other,No bachelors,5,78156
2795,United States of America,Bachelors,24,75000
2796,Norway,No bachelors,20,86316
2797,Netherlands,No bachelors,4,75669
2798,Other,Bachelors,2,27552
2799,United States of America,No bachelors,1,130000
2800,United Kingdom,No bachelors,7,77556
2801,Other,No bachelors,15,57000
2802,United States of America,Bachelors,24,100000
2803,Germany,No bachelors,13,64859
2804,United States of America,No bachelors,12,75000
2805,United States of America,Bachelors,3,87500
2806,Canada,Bachelors,2,46740
2807,Russia,Bachelors,3,54040
2808,United States of America,Bachelors,21,144000
2809,Other,Bachelors,1,16284
2810,United States of America,Bachelors,2,60000
2811,France,No bachelors,5,44100
2812,United States of America,Bachelors,3,125000
2813,United States of America,No bachelors,6,55000
2814,Germany,No bachelors,35,108098
2815,Netherlands,No bachelors,20,86478
2816,Germany,Bachelors,0.5,14760
2817,United States of America,No bachelors,2,35000
2818,Brazil,Bachelors,6,43980
2819,France,No bachelors,5,38916
2820,Germany,No bachelors,20,86484
2821,Other,Bachelors,10,32424
2822,Other,No bachelors,5,11352
2823,France,Post-grad,19,43239
2824,Brazil,No bachelors,15,19236
2825,United States of America,Bachelors,8,135000
2826,Poland,No bachelors,2,28860
2827,Other,No bachelors,10,220616
2828,Israel,No bachelors,28,140088
2829,United States of America,No bachelors,3,70000
2830,United States of America,No bachelors,5,88000
2831,United States of America,No bachelors,5,145000
2832,Other,No bachelors,1,38915
2833,United States of America,No bachelors,5,138114
2834,Spain,No bachelors,18,70264
2835,United States of America,Bachelors,10,130000
2836,Brazil,No bachelors,6,21660
2837,United States of America,Bachelors,12,171000
2838,United States of America,No bachelors,20,90000
2839,Brazil,Bachelors,8,34360
2840,United Kingdom,No bachelors,10,84019
2841,United States of America,Bachelors,2,126000
2842,Canada,Bachelors,0.5,41597
2843,Other,Bachelors,5,54276
2844,United States of America,No bachelors,6,195000
2845,India,No bachelors,5,12566
2846,France,No bachelors,7,38915
2847,Netherlands,Bachelors,7,102693
2848,Germany,No bachelors,11,57072
2849,Canada,No bachelors,14,113447
2850,Other,No bachelors,19,38484
2851,Other,Bachelors,10,36000
2852,Other,No bachelors,2,35672
2853,Poland,No bachelors,15,48600
2854,Germany,No bachelors,1,59454
2855,United Kingdom,No bachelors,3,44595
2856,Israel,Post-grad,17,140088
2857,United Kingdom,Bachelors,32,161574
2858,United States of America,Bachelors,4,187000
2859,United States of America,No bachelors,3,95000
2860,United States of America,Bachelors,9,98000
2861,United States of America,Bachelors,17,240000
2862,United States of America,Bachelors,6,175000
2863,United States of America,No bachelors,4,75000
2864,Other,Post-grad,5,19824
2865,Canada,Bachelors,8,113447
2866,Sweden,No bachelors,2,36816
2867,Other,No bachelors,5,46356
2868,United Kingdom,No bachelors,8,116333
2869,Italy,Post-grad,20,43239
2870,Other,Bachelors,12,42312
2871,United States of America,Bachelors,3,205000
2872,Poland,No bachelors,5,48600
2873,Canada,No bachelors,20,60505
2874,Germany,No bachelors,26,97288
2875,Germany,No bachelors,21,75669
2876,United States of America,Bachelors,8,115000
2877,Other,No bachelors,6,43922
2878,United Kingdom,Bachelors,24,82726
2879,United States of America,No bachelors,25,155000
2880,Other,No bachelors,8,10992
2881,Canada,Bachelors,2,200000
2882,Germany,No bachelors,17,79993
2883,United States of America,Bachelors,7,108000
2884,Germany,No bachelors,3,32424
2885,Other,Bachelors,16,50069
2886,Germany,Bachelors,6,67452
2887,United States of America,No bachelors,2,120000
2888,United States of America,No bachelors,5,55000
2889,United States of America,Bachelors,2,150000
2890,Other,No bachelors,9,13032
2891,Poland,No bachelors,6,60744
2892,Germany,Bachelors,23,70264
2893,United States of America,Bachelors,20,102000
2894,United States of America,No bachelors,5,98000
2895,Other,Bachelors,10,45401
2896,Israel,Bachelors,8,113503
2897,Germany,No bachelors,5,59454
2898,United States of America,Bachelors,10,67000
2899,Turkey,No bachelors,7,31560
2900,United States of America,Bachelors,14,125000
2901,Poland,No bachelors,2,15192
2902,Other,No bachelors,9,29616
2903,Sweden,No bachelors,15,67500
2904,Other,No bachelors,5,10709
2905,Israel,No bachelors,2,42024
2906,United States of America,No bachelors,10,110000
2907,Other,No bachelors,6,48000
2908,Brazil,Bachelors,3,10176
2909,Other,No bachelors,24,69468
2910,United States of America,Bachelors,4,140000
2911,Canada,Bachelors,5,69959
2912,France,No bachelors,17,34591
2913,United States of America,No bachelors,15,150000
2914,United Kingdom,No bachelors,3,51704
2915,Germany,No bachelors,6,58368
2916,United States of America,Bachelors,12,54135
2917,United States of America,Bachelors,9,230000
2918,United States of America,No bachelors,27,180000
2919,Brazil,Bachelors,4,16488
2920,Germany,No bachelors,8,64859
2921,India,Bachelors,7,41885
2922,United States of America,Bachelors,2,130000
2923,Other,No bachelors,10,64860
2924,Switzerland,Bachelors,6,106116
2925,Italy,No bachelors,3,44320
2926,Norway,No bachelors,15,118685
2927,Canada,Bachelors,10,60505
2928,Brazil,Bachelors,10,28584
2929,United States of America,Bachelors,0.5,80000
2930,United States of America,Bachelors,4,128000
2931,United States of America,Bachelors,3,52000
2932,Other,No bachelors,9,16860
2933,Brazil,Bachelors,20,140275
2934,United States of America,Bachelors,0.5,85000
2935,Italy,No bachelors,8,34591
2936,France,No bachelors,10,52968
2937,Germany,No bachelors,13,67021
2938,United Kingdom,Bachelors,4,206815
2939,United States of America,No bachelors,2,90000
2940,United States of America,No bachelors,20,125000
2941,United States of America,Bachelors,3,78153
2942,India,Bachelors,6,18150
2943,Other,No bachelors,5,38976
2944,Other,No bachelors,8,34969
2945,United States of America,Bachelors,10,100000
2946,Brazil,Bachelors,9,36144
2947,Netherlands,No bachelors,13,95126
2948,United States of America,No bachelors,14,158000
2949,Poland,No bachelors,4,48600
2950,Other,No bachelors,2,43344
2951,Brazil,Bachelors,8,13740
2952,Canada,Bachelors,2,60505
2953,United States of America,Bachelors,5,70000
2954,Germany,Bachelors,6,72426
2955,Other,No bachelors,22,89446
2956,Other,Bachelors,4,75669
2957,Other,No bachelors,17,23088
2958,United States of America,Bachelors,8,84556
2959,United States of America,No bachelors,32,167000
2960,United States of America,No bachelors,22,105000
2961,United States of America,No bachelors,4,86000
2962,Canada,Bachelors,4,128573
2963,Israel,Bachelors,17,70044
2964,United States of America,No bachelors,13,160000
2965,Germany,No bachelors,6,67021
2966,United States of America,Bachelors,22,127000
2967,Netherlands,Bachelors,12,56211
2968,United States of America,No bachelors,24,82500
2969,United States of America,No bachelors,10,150000
2970,United States of America,No bachelors,22,120000
2971,Sweden,Bachelors,3,51552
2972,United States of America,No bachelors,12,51000
2973,United States of America,Bachelors,4,34000
2974,Canada,Bachelors,9,71093
2975,United States of America,Bachelors,7,165000
2976,United States of America,Bachelors,7,90800
2977,Germany,No bachelors,5,59454
2978,Poland,No bachelors,6,22776
2979,Israel,Bachelors,3,13200
2980,Other,No bachelors,9,75669
2981,United States of America,No bachelors,5,104000
2982,United Kingdom,Bachelors,12,51704
2983,United States of America,Bachelors,26,135000
2984,Switzerland,No bachelors,9,121979
2985,United States of America,No bachelors,4,95000
2986,Canada,No bachelors,3,68068
2987,Russia,No bachelors,2,37752
2988,United States of America,Bachelors,7,85000
2989,Other,Bachelors,22,45396
2990,United States of America,Bachelors,1,85000
2991,Sweden,No bachelors,5,61368
2992,United States of America,No bachelors,15,125000
2993,United States of America,No bachelors,1,105000
2994,Other,No bachelors,3,22800
2995,United States of America,No bachelors,17,200000
2996,United Kingdom,Bachelors,15,187426
2997,United States of America,No bachelors,15,124000
2998,United Kingdom,No bachelors,3,95652
2999,Other,Bachelors,5,82308
3000,United Kingdom,Bachelors,22,81433
3001,Germany,Bachelors,4,57292
3002,United States of America,No bachelors,18,68000
3003,France,No bachelors,7,106731
3004,Norway,No bachelors,3,83079
3005,United States of America,No bachelors,2,92000
3006,United States of America,Bachelors,0.5,65000
3007,Poland,No bachelors,2,34932
3008,Germany,Bachelors,11,75669
3009,Brazil,Bachelors,8,32988
3010,Other,Bachelors,7,59052
3011,Turkey,Bachelors,3,31560
3012,United States of America,Bachelors,12,170000
3013,United States of America,No bachelors,8,180000
3014,Switzerland,Bachelors,8,73188
3015,United States of America,Bachelors,12,135000
3016,United States of America,No bachelors,1,64000
3017,United Kingdom,Bachelors,32,90482
3018,United States of America,Bachelors,11,210000
3019,Turkey,Bachelors,6,65746
3020,United States of America,No bachelors,1,154000
3021,Switzerland,No bachelors,3,12804
3022,Germany,Post-grad,10,75669
3023,Germany,Bachelors,2,45942
3024,United States of America,Bachelors,10,128750
3025,Sweden,No bachelors,11,54000
3026,Canada,Bachelors,10,79413
3027,Poland,No bachelors,15,60750
3028,United States of America,Post-grad,15,225000
3029,United States of America,No bachelors,1,36000
3030,Turkey,Bachelors,3,49308
3031,Netherlands,Bachelors,15,74592
3032,Canada,Bachelors,11,90758
3033,Canada,Bachelors,4,75631
3034,United States of America,No bachelors,4,150000
3035,Other,No bachelors,6,61616
3036,Other,Bachelors,7,102384
3037,Other,No bachelors,6,74676
3038,Germany,No bachelors,14,86478
3039,United States of America,Bachelors,10,105000
3040,Brazil,Bachelors,5,46728
3041,Other,Bachelors,3,41508
3042,United States of America,No bachelors,4,80000
3043,Turkey,Bachelors,12,41424
3044,Norway,Post-grad,11,91711
3045,Other,Bachelors,1,10404
3046,United States of America,Bachelors,25,200000
3047,United States of America,No bachelors,8,95000
3048,United Kingdom,Bachelors,8,54289
3049,Switzerland,No bachelors,4,81319
3050,Switzerland,Bachelors,7,91484
3051,Norway,No bachelors,5,64737
3052,Canada,Bachelors,5,75631
3053,United States of America,No bachelors,5,100000
3054,United States of America,No bachelors,6,93600
3055,Canada,No bachelors,10,45379
